"","Date","spx","dax","ftse","nikkei"
"75","1994-04-20",441.959991455078,2194.09008789062,3098.30004882812,19882.1796875
"76","1994-04-21",448.730010986328,2194.40991210938,3101.19995117188,19799.359375
"77","1994-04-22",447.630004882812,2218.1298828125,3133.69995117188,19964.390625
"78","1994-04-25",452.709991455078,2208.67993164062,3106.10009765625,19709.140625
"79","1994-04-26",451.869995117188,2241.36010742188,3125.30004882812,19628.9296875
"80","1994-04-27",451.869995117188,2256.97998046875,3150,19729.150390625
"81","1994-04-28",449.100006103516,2237.82006835938,3129.89990234375,19725.25
"82","1994-04-29",450.910003662109,2252.51000976562,3125.30004882812,19725.25
"83","1994-05-02",453.019989013672,2266.71997070312,3125.30004882812,19570.2109375
"84","1994-05-03",453.029998779297,2261.7099609375,3100,19570.2109375
"85","1994-05-04",451.720001220703,2241.85009765625,3070.5,19570.2109375
"86","1994-05-05",451.380004882812,2249.78002929688,3106,19570.2109375
"87","1994-05-06",447.820007324219,2233.55004882812,3106,19862.470703125
"88","1994-05-09",442.320007324219,2218.77001953125,3097.80004882812,19786.9609375
"89","1994-05-10",446.010009765625,2241.34008789062,3136.30004882812,19917.779296875
"90","1994-05-11",441.489990234375,2248.02001953125,3130.5,20150.130859375
"91","1994-05-12",443.75,2248.02001953125,3137.80004882812,20224.240234375
"92","1994-05-13",444.140014648438,2257.330078125,3119.19995117188,20270.75
"93","1994-05-16",444.489990234375,2272.9599609375,3115.60009765625,20188.439453125
"94","1994-05-17",449.369995117188,2268.11010742188,3123.5,20133.529296875
"95","1994-05-18",453.690002441406,2254.2099609375,3116.5,20152.73046875
"96","1994-05-19",456.480010986328,2245.7900390625,3122.80004882812,20221.33984375
"97","1994-05-20",454.920013427734,2238.96997070312,3127.30004882812,20342.169921875
"98","1994-05-23",453.200012207031,2238.96997070312,3108.39990234375,20568.7109375
"99","1994-05-24",454.809997558594,2188.01000976562,3089.10009765625,20622.119140625
"100","1994-05-25",456.339996337891,2137.56005859375,3020.69995117188,20663.630859375
"101","1994-05-26",457.059997558594,2146,3019.69995117188,20495.80078125
"102","1994-05-27",457.329986572266,2112.80004882812,2966.39990234375,20777.16015625
"103","1994-05-30",457.329986572266,2129.76000976562,2966.39990234375,20838.970703125
"104","1994-05-31",456.5,2137.34008789062,2970.5,20973.58984375
"105","1994-06-01",457.630004882812,2113.6201171875,2931.89990234375,21053.109375
"106","1994-06-02",457.649993896484,2113.6201171875,2980.80004882812,21009
"107","1994-06-03",460.130004882812,2158.8798828125,2997.80004882812,20954.189453125
"108","1994-06-06",458.880004882812,2163.59008789062,3009.39990234375,20726.650390625
"109","1994-06-07",458.209991455078,2131.80004882812,3004.80004882812,21042.7109375
"110","1994-06-08",457.059997558594,2143.92993164062,3038.19995117188,21261.94921875
"111","1994-06-09",457.859985351562,2131.13989257812,3028.89990234375,21402.779296875
"112","1994-06-10",458.670013427734,2143.580078125,3055.89990234375,21395.1796875
"113","1994-06-13",459.100006103516,2084.419921875,3016.30004882812,21552.810546875
"114","1994-06-14",462.369995117188,2088.43994140625,3039.60009765625,21353.970703125
"115","1994-06-15",460.609985351562,2073.2099609375,3045.80004882812,21282.9609375
"116","1994-06-16",461.929992675781,2047.2900390625,3030.10009765625,21367.470703125
"117","1994-06-17",458.450012207031,2031.80004882812,3022.89990234375,21503.30078125
"118","1994-06-20",455.480010986328,1986.42004394531,2971.10009765625,21152.029296875
"119","1994-06-21",451.339996337891,1957.07995605469,2940.19995117188,20813.16015625
"120","1994-06-22",453.089996337891,2004.93005371094,2960.39990234375,20581.3203125
"121","1994-06-23",449.630004882812,2032.52001953125,2942.39990234375,21040.2109375
"122","1994-06-24",442.799987792969,2005.06994628906,2876.60009765625,20766.75
"123","1994-06-27",447.309997558594,2000.47998046875,2899.89990234375,20300.9609375
"124","1994-06-28",446.070007324219,2022.25,2909,20639.23046875
"125","1994-06-29",447.630004882812,2042.44995117188,2946.30004882812,20481
